notSyllabified	numeric
cappuccino	 0001001000
forgiveness	 00010000000
rawhide	 0000100
unordered	 001010000
rambling	 00010000
curvature	 000001000
bandicoot	 000101000
centenary	 000100101
deference	 001001000
rental	 001100
mains	 00001
magnified	 000101000
village	 0001000
salvia	 000101
pen	 000
pension	 0001000
cosmology	 000100010
cleanly	 0000010
placenta	 00000010
omit	 0001
sweetness	 000001000
horrifying	 0001010100
woodworking	 00001000100
pollute	 0001000
mage	 0000
polarizing	 0000011100
jockey	 000010
weathered	 000001000
speedometer	 00000100000
flapping	 00001000
eleven	 000000
oust	 0001
lighting	 00000100
nave	 0010
roe	 000
crotch	 000100
rat	 000
rit	 000
intercity	 001001010
currant	 0001000
urban	 00100
outflow	 0001000
endemic	 0010111
groundwork	 0000001000
cine	 0001
snooze	 000001
vengeance	 000100000
merging	 0001000
verse	 00010
craziness	 000010000
infield	 0010000
modernism	 000101000
verifying	 000110100
epos	 0000
instalment	 0010001000
penitentiary	 000110000001
lamp	 0001
meow	 0010
workman	 0000100
chico	 00000
clouded	 0000010
paprika	 0000010
androgen	 00100100
gracefully	 0000010010
watery	 000001
sob	 000
designed	 00000000
brutally	 00000010
acorn	 00001
saucer	 000000
lancet	 000000
antistatic	 0010010100
juggle	 000100
aesthetics	 0001000100
banking	 0000100
afterward	 001001000
gooseneck	 000000000
synonym	 0001011
unsaturated	 00100000100
nonsense	 00010010
regulated	 001000010
backfire	 00001000
routed	 000010
socialization	 0010101001000
cirrus	 000100
confederacy	 00010000100
obsession	 001000000
mesmerizing	 00010010100
depleted	 00100000
reclaim	 0010000
withstand	 000010000
luminaries	 0000100100
fervor	 000100
stardust	 00000100
dextrose	 00010000
browser	 0000010
notwithstanding	 001101010000100
stair	 00000
ens	 001
solstice	 00000000
bedtime	 0001000
raping	 000100
hem	 000
crucially	 000001010
sanctum	 0001100
dub	 000
carry	 00010
inducing	 00100000
statically	 0000000010
sorption	 00010000
speedily	 00000100
crank	 00000
sod	 000
hydrating	 001001000
fixation	 00011000
consummation	 000100101000
physical	 00011000
sheila	 000000
repetition	 0010011000
myron	 00100
damages	 0000000
spoon	 00000
valley	 000100
tonnage	 0001000
rialto	 001010
cunnilingus	 00010010000
pic	 000
amplify	 0010010
naught	 000100
resubmit	 00101101
gilt	 0000
crackdown	 000001000
pierce	 000010
till	 0001
tacky	 00001
customize	 000100110
luxury	 000100
arroyo	 001001
calender	 00000100
benchmark	 000101000
filibuster	 0001100100
apa	 000
bourgeoisie	 00001000010
cavernous	 001001000
thanksgiving	 000001000100
phylogenetic	 000100000010
cornea	 000100
lecturing	 000100100
matted	 000100
chasm	 00001
any	 001
thermodynamics	 00001000000100
cons	 0001
halter	 000000
dissociation	 000100011000
swab	 0000
whey	 0000
reckon	 001000
unearth	 0010000
storm	 00000
seafront	 00000000
rhyme	 00010
sport	 00000
thereon	 0000010
progressive	 00010000000
tracheal	 00000000
readability	 00101100110
negligent	 000100000
multiplied	 0001010000
floating	 00000100
maybe	 00010
contr	 00010
suction	 0001000
doctrinal	 000100000
banyan	 000110
mobilisation	 000101001000
sketch	 000000
vela	 0000
careless	 00001000
bandits	 0001010
shanti	 000000
clone	 00000
expanse	 0010010
den	 000
maxi	 0001
funnier	 0001000
novelty	 0000000
lottery	 0001001
orgasm	 001001
blah	 0000
eavesdropping	 0000000001000
icebreaker	 0001000010
phantom	 0000101
exponent	 00100000
inaudible	 001010100
invoiced	 00100000
set	 000
brigadier	 000000100
odious	 000100
harken	 000010
max	 000
grass	 00000
grower	 000010
gestalt	 0001000
cache	 00000
contented	 000100100
integration	 00101001000
knotting	 00001000
insure	 001000
discredit	 000100011
incubated	 001010100
painstakingly	 0000100010010
engender	 00100000
paleontology	 000010000110
estoppel	 00100100
literature	 0000011000
maintenance	 00001000000
jab	 000
band	 0001
tunnel	 000100
fussy	 00010
booth	 00000
worms	 00000
shade	 00000
oxidation	 001000000
compulsion	 0001010000
rendition	 001001000
applied	 0010000
dissection	 0001001000
lai	 000
linac	 00000
apprehension	 001001001000
produce	 0001000
ant	 001
china	 00001
server	 000000
anticipating	 001010001000
dispersal	 000100000
thrilling	 000000000
commanding	 0001000000
stationary	 0000000101
mount	 00000
bullish	 0000000
ellipsis	 00100000
shortness	 000001000
ferric	 000100
streamlining	 000000100100
perturbative	 000100100000
artwork	 0011000
stoneware	 000001000
proceed	 0001000
overweight	 0100100000
mise	 0000
entrance	 00100000
primavera	 000001001
externally	 0010010010
yogi	 0001
houseboat	 000001000
kaiser	 000000
unchallenged	 001000100000
insecure	 00100000
closest	 0000000
niche	 00000
metastasis	 0000000000
agonizing	 000010100
arching	 0010000
ripe	 0000
rest	 0010
dynamism	 00000100
ornithine	 001010100
courageously	 000010010010
corticosteroid	 00010100000100
stimulation	 00001100100
incidental	 0010000000
closer	 000000
monumental	 0001000000
terrible	 00010100
judo	 0000
eclipse	 0000000
diabolical	 0011001000
basil	 00000
bee	 000
stopwatch	 000010100
vintage	 0001000
bullpen	 0000000
silex	 00000
coherent	 00000000
humane	 000000
haar	 0000
everyday	 01001000
dysphagia	 000100010
sex	 000
haughty	 0000000
potter	 000100
eternally	 000010010
substantiate	 000100000001
multilingual	 000101100000
fuselage	 00001000
last	 0001
potty	 00010
vixen	 00010
paying	 000100
convenient	 0001001000
nth	 000
isthmus	 0010000
buoyancy	 00001000
segmentation	 000100001000
aggie	 00100
gosport	 0001000
coaster	 0000000
termination	 00010101000
progressively	 0001000000010
lira	 0001
trumpeter	 000000000
ineffective	 00111001000
exercised	 001010000
homemaker	 000010010
embarrassment	 0010010001000
station	 0000000
bollocks	 00010101
westbound	 000010000
misrepresentation	 00010000000001000
focusing	 00100100
nomination	 0001101000
preclinical	 00010001000
new	 000
finesse	 0000000
shape	 00000
fascination	 00010001000
goat	 0000
interleaved	 00100100000
temperament	 00010010000
paradox	 0001100
motivated	 001000100
distrust	 00010000
knit	 0000
commandment	 00010001000
extrinsic	 001000010
pleural	 0000100
procession	 0001001000
brush	 00000
opacity	 0000010
oscar	 00100
innovative	 0010101000
chloride	 00000010
mauve	 00010
bullshit	 00000000
spike	 00000
roundhouse	 0000000000
blend	 00000
landowner	 000000000
wahoo	 00000
ream	 0010
embodied	 00100100
product	 0001001
marker	 000000
shr	 000
brunch	 000000
typographical	 0000100101000
stiffness	 000000000
gosling	 0001000
courtroom	 000000000
precursor	 000100000
ilia	 0011
shaman	 000000
visually	 00011010
nod	 000
dangerously	 00000010010
burrow	 000100
fossil	 000000
glorious	 00000100
hugely	 000010
crankshaft	 0000010000
mounting	 00000000
undersea	 00100100
eruption	 00001000
lawyer	 000000
predecessor	 00010000000
locator	 0000100
dealership	 0000101000
mixed	 00010
defuse	 001000
syndicated	 0001010000
municipal	 000010000
confederate	 00010000110
nome	 0000
whaler	 000000
maverick	 00100100
clue	 0000
bracket	 0000010
relativistic	 001000010000
affirmatively	 0010000100010
gracious	 00001000
miraculous	 0000011000
newsreader	 0000000010
apt	 001
shank	 00000
penetrate	 000100010
coenzyme	 00001010
sedation	 00001000
baryon	 000110
instantiate	 00100000001
imposing	 00100000
propensity	 0001001010
transferase	 00000100100
amir	 0010
accommodating	 0010010001000
celebrated	 0000100100
inadequately	 001000001110
spellbound	 0000010000
reservoir	 001000000
engineer	 00100000
suffice	 0001010
rescission	 0011000000
creatively	 0000000010
psychologically	 000100111100010
musk	 0000
pliers	 000001
democratic	 0010100100
victimization	 0011001001000
seeing	 000000
chick	 00000
marine	 000100
tinderbox	 000100100
adj	 001
carve	 00010
armada	 001010
constriction	 000100001000
buddy	 00010
impartial	 001000000
interdepartmental	 00100100000100000
transcriptional	 000001000100010
cheek	 00000
amorous	 0000100
divestiture	 00100101000
sensitive	 000101000
stateless	 000001000
dentist	 0001000
blade	 00001
mention	 0001000
kitchenware	 00000101000
factoring	 000100000
lurker	 000010
old	 000
inherently	 0010000010
stop	 0000
tele	 0001
their	 00000
assumed	 0010000
defamer	 0010000
centra	 000100
cloudy	 000001
tipsy	 00010
proton	 000100
tyrant	 000000
axon	 0010
timid	 00011
provoking	 000100100
plastering	 0000100100
