notSyllabified	numeric
cappuccino	 1001001010
forgiveness	 10010001000
rawhide	 1001000
unordered	 101010000
rambling	 10010000
curvature	 100101000
bandicoot	 100101000
centenary	 100101001
deference	 100101000
rental	 100100
mains	 10000
magnified	 100101000
village	 1001000
salvia	 100101
pen	 100
pension	 1001000
cosmology	 100100110
cleanly	 1000010
placenta	 10010010
omit	 1100
sweetness	 100001000
horrifying	 1001010100
woodworking	 10001000100
pollute	 1001000
mage	 1000
polarizing	 1001010100
jockey	 100010
weathered	 100001000
speedometer	 10000101100
flapping	 10001000
eleven	 110010
oust	 1000
lighting	 10000100
nave	 1000
roe	 100
crotch	 100000
rat	 100
rit	 100
intercity	 101001010
currant	 1001000
urban	 10100
outflow	 1001000
endemic	 1010010
groundwork	 1000001000
cine	 1000
snooze	 100000
vengeance	 100101000
merging	 1000100
verse	 10000
craziness	 100101000
infield	 1010000
modernism	 100100100
verifying	 100110100
epos	 1100
instalment	 1010001000
penitentiary	 100110010001
lamp	 1000
meow	 1000
workman	 1000100
chico	 10010
clouded	 1000010
paprika	 1010010
androgen	 10100010
gracefully	 1000010010
watery	 101001
sob	 100
designed	 10100000
brutally	 10010010
acorn	 11000
saucer	 100010
lancet	 100100
antistatic	 1010100010
juggle	 100100
aesthetics	 1001000100
banking	 1000100
afterward	 101001000
gooseneck	 100011000
synonym	 1001100
unsaturated	 10100110010
nonsense	 10010000
regulated	 100110010
backfire	 10001000
routed	 100010
socialization	 1010001101000
cirrus	 100100
confederacy	 10010010110
obsession	 101001000
mesmerizing	 10010010100
depleted	 10100010
reclaim	 1010000
withstand	 100010000
luminaries	 1010100100
fervor	 100100
stardust	 10000100
dextrose	 10010000
browser	 1000010
notwithstanding	 101000010000100
stair	 10000
ens	 100
solstice	 10010000
bedtime	 1001000
raping	 100100
hem	 100
crucially	 100100010
sanctum	 1000100
dub	 100
carry	 10010
inducing	 10100100
statically	 1000110010
sorption	 10001000
speedily	 10000110
crank	 10000
sod	 100
hydrating	 101000100
fixation	 10111000
consummation	 100100101000
physical	 10001100
sheila	 100010
repetition	 1010101000
myron	 10100
damages	 1001100
spoon	 10000
valley	 100100
tonnage	 1001000
rialto	 101010
cunnilingus	 10010100100
pic	 100
amplify	 1010010
naught	 100000
resubmit	 10100100
gilt	 1000
crackdown	 100001000
pierce	 101000
till	 1000
tacky	 10001
customize	 100100100
luxury	 100110
arroyo	 101001
calender	 10010010
benchmark	 100001000
filibuster	 1001100100
apa	 110
bourgeoisie	 10001001100
cavernous	 100101000
thanksgiving	 100001000100
phylogenetic	 100101010010
cornea	 100101
lecturing	 100100100
matted	 100100
chasm	 10000
any	 101
thermodynamics	 10001010100100
cons	 1000
halter	 100100
dissociation	 100101011000
swab	 1000
whey	 1000
reckon	 100010
unearth	 1010000
storm	 10000
seafront	 10010000
