	Unnamed: 0	item	gold	gru	elman	earlyBoundary	lateBoundary	missedBoundary	addedBoundary	totalErrors
0	1	mata	m/1 a/0 t/0 a/1 d/1 o/0 r/0	m/1 a/0 T/1 A/0 d/1 o/0 r/0	m/1 a/0 T/1 A/0 d/1 o/0 r/0	1	0	0	0	1
1	2	lire	/1 i/0 r/1 e/0	l/1 i/0 R/0 e/0	l/1 i/0 R/0 e/0	0	0	1	0	1
2	3	syrup	s/1 y/0 r/0 u/1 p/0	s/1 y/0 R/1 U/0 p/0	s/1 y/0 R/1 U/0 p/0	1	0	0	0	1
3	6	bullish	b/1 u/0 l/0 l/0 i/1 s/0 h/0	b/1 u/0 l/0 L/1 I/0 s/0 h/0	b/1 u/0 l/0 L/1 I/0 s/0 h/0	1	0	0	0	1
4	9	agave	a/1 g/1 a/0 v/1 e/0	a/1 g/1 a/0 V/0 e/0	a/1 g/1 a/0 V/0 e/0	0	0	1	0	1
5	10	missy	m/1 i/0 s/0 s/0 y/1	m/1 i/0 s/0 S/1 Y/0	m/1 i/0 s/0 S/1 Y/0	1	0	0	0	1
6	11	banyan	b/1 a/0 n/0 y/1 a/0 n/0	b/1 a/0 n/0 y/1 A/1 n/0	b/1 a/0 n/0 y/1 A/1 n/0	0	0	0	1	1
7	13	campe	c/1 a/0 m/0 p/0 e/1 r/0	c/1 a/0 m/0 P/1 E/0 r/0	c/1 a/0 m/0 P/1 E/0 r/0	1	0	0	0	1
8	15	gazeb	g/1 a/0 z/1 e/0 b/1 o/0	g/1 a/0 Z/0 e/0 b/1 o/0	g/1 a/0 Z/0 e/0 b/1 o/0	0	0	1	0	1
9	19	buffe	b/1 u/0 f/0 f/0 e/1 r/0	b/1 u/0 f/0 F/1 E/0 r/0	b/1 u/0 f/0 F/1 E/0 r/0	1	0	0	0	1
10	21	beachcombe	b/1 e/0 a/0 c/0 h/0 c/1 o/0 m/0 b/0 e/1 r/0	b/1 e/0 a/0 c/0 h/0 c/1 o/0 m/0 B/1 E/0 r/0	b/1 e/0 a/0 c/0 h/0 c/1 o/0 m/0 B/1 E/0 r/0	1	0	0	0	1
11	27	ynamism	/1 y/0 n/1 a/0 m/1 i/0 s/0 m/0	/1 y/0 n/1 a/0 M/0 I/1 s/0 m/0	/1 y/0 n/1 a/0 M/0 I/1 s/0 m/0	0	1	0	0	1
12	29	ecommen	r/1 e/0 c/0 o/1 m/0 m/1 e/0 n/0 d/0	/1 e/0 C/1 O/0 m/0 m/1 e/0 n/0 d/0	/1 e/0 C/1 O/0 m/0 m/1 e/0 n/0 d/0	1	0	0	0	1
13	31	pierce	p/1 i/0 e/0 r/0 c/0 e/0	p/1 i/0 E/1 r/0 c/0 e/0	p/1 i/0 E/1 r/0 c/0 e/0	0	0	0	1	1
14	35	larde	/1 a/0 r/0 d/1 e/0 r/0	l/1 a/0 r/0 D/0 E/1 r/0	l/1 a/0 r/0 D/0 E/1 r/0	0	1	0	0	1
15	40	prairie	p/1 r/0 a/0 i/0 r/1 i/0 e/0	p/1 r/0 a/0 i/0 R/0 I/1 e/0	p/1 r/0 a/0 i/0 R/0 I/1 e/0	0	1	0	0	1
16	43	hyperbole	h/1 y/0 p/1 e/0 r/0 b/1 o/0 l/1 e/0	h/1 y/0 p/1 e/0 r/0 b/1 o/0 L/0 e/0	h/1 y/0 p/1 e/0 r/0 b/1 o/0 L/0 e/0	0	0	1	0	1
17	51	gestalt	g/1 e/0 s/1 t/0 a/0 l/0 t/0	g/1 e/0 S/0 T/1 a/0 l/0 t/0	g/1 e/0 S/0 T/1 a/0 l/0 t/0	0	1	0	0	1
18	53	engende	e/1 n/0 g/1 e/0 n/0 d/1 e/0 r/0	/1 n/0 g/1 e/0 n/0 D/0 E/1 r/0	/1 n/0 g/1 e/0 n/0 D/0 E/1 r/0	0	1	0	0	1
19	54	stanhope	s/1 t/0 a/0 n/0 h/1 o/0 p/0 e/0	s/1 t/0 a/0 n/0 H/0 o/0 p/0 e/0	s/1 t/0 a/0 n/0 H/0 o/0 p/0 e/0	0	0	1	0	1
20	56	ab	a/1 b/0 r/0	a/1 B/1 r/0	a/1 B/1 r/0	0	0	0	1	1
21	57	paprika	p/1 a/0 p/0 r/1 i/0 k/1 a/0	p/1 a/0 P/1 R/0 i/0 k/1 a/0	p/1 a/0 P/1 R/0 i/0 k/1 a/0	1	0	0	0	1
22	60	clumsy	c/1 l/0 u/0 m/0 s/1 y/0	c/1 l/0 u/0 m/0 S/0 Y/1	c/1 l/0 u/0 m/0 S/0 Y/1	0	1	0	0	1
23	64	espionage	e/1 s/0 p/1 i/0 o/1 n/1 a/0 g/0 e/0	/1 s/0 p/1 i/0 o/1 N/0 A/1 g/0 e/0	/1 s/0 p/1 i/0 o/1 N/0 A/1 g/0 e/0	1	0	0	0	1
24	72	embolism	e/1 m/0 b/1 o/0 l/1 i/0 s/0 m/0	/1 m/0 b/1 o/0 L/0 I/1 s/0 m/0	/1 m/0 b/1 o/0 L/0 I/1 s/0 m/0	0	1	0	0	1
25	77	arche	a/1 r/0 c/0 h/0 e/1 r/0	a/1 r/0 C/1 h/0 E/0 r/0	a/1 r/0 C/1 h/0 E/0 r/0	0	0	1	0	1
