syllabified	notSyllabified	numeric
a;a	aa	11
a;back	aback	11000
a;ban;don	abandon	1100100
a;ban;don;ment	abandonment	11001001000
a;ban;doned	abandoned	110010000
a;bat;ed	abated	110010
a;bate	abate	11000
a;bate;ment	abatement	110001000
a;bet	abet	1100
a;bi;ot;ic	abiotic	1101010
a;bid;ing	abiding	1100100
a;bide	abide	11000
a;bil;i;ty	ability	1100110
a;blaze	ablaze	110000
a;ble	able	1100
a;bly	ably	1100
a;board	aboard	110000
a;bode	abode	11000
a;bol;ish	abolish	1100100
a;bom;i;na;ble	abominable	1100110100
a;bom;i;na;tion	abomination	11001101000
a;bor;tion	abortion	11001000
a;bort	abort	11000
a;bound	abound	110000
a;bout	about	11000
a;bove	above	11000
a;bra;sion	abrasion	11001000
a;bra;sive	abrasive	11001000
a;breast	abreast	1100000
a;bridged	abridged	11000000
a;broad	abroad	110000
a;bu;sive	abusive	1101000
a;bun;dance	abundance	110010000
a;bun;dant	abundant	11001000
a;bun;dant;ly	abundantly	1100100010
a;bus;er	abuser	110010
a;bus;ing	abusing	1100100
a;buse	abuse	11000
a;bused	abused	110000
a;but;ting	abutting	11001000
a;by	aby	110
a;bys;mal	abysmal	1100100
a;byss	abyss	11000
a;ca;cia	acacia	110100
a;cad;e;my	academy	1100110
a;ce;tic	acetic	110100
a;cet;y;lene	acetylene	110011000
a;chiev;a;ble	achievable	1100001100
a;chiev;er	achiever	11000010
a;chiev;ing	achieving	110000100
a;chieve	achieve	1100000
a;chieve;ment	achievement	11000001000
a;chieved	achieved	11000000
a;cid;i;ty	acidity	1100110
a;cid;ic	acidic	110010
a;corn	acorn	11000
a;cous;ti;cal	acoustical	1100010100
a;cous;tic	acoustic	11000100
a;cous;tics	acoustics	110001000
a;cre	acre	1100
a;cre;age	acreage	1100100
a;crop;o;lis	acropolis	110001100
a;cross	across	110000
a;cryl;ic	acrylic	1100010
a;cu;i;ty	acuity	110110
a;cute	acute	11000
a;cute;ly	acutely	1100010
a;cy;clic	acyclic	1101000
a;da;gio	adagio	110100
a;dap;tive	adaptive	11001000
a;dap;tor	adaptor	1100100
a;dapt	adapt	11000
a;dapt;a;bil;i;ty	adaptability	110001100110
a;dapt;a;ble	adaptable	110001100
a;dapt;er	adapter	1100010
a;den;o;sine	adenosine	110011000
a;dieu	adieu	11000
a;do	ado	110
a;do;be	adobe	11010
a;dop;tion	adoption	11001000
a;dop;tive	adoptive	11001000
a;dopt	adopt	11000
a;dopt;ed	adopted	1100010
a;dopt;er	adopter	1100010
a;dor;a;ble	adorable	11001100
a;dore	adore	11000
a;dored	adored	110000
a;dorn	adorn	11000
a;dren;a;line	adrenaline	1100011000
a;drift	adrift	110000
a;dul;ter;y	adultery	11001001
a;dult	adult	11000
a;dult;hood	adulthood	110001000
a;far	afar	1100
a;fi;cio;na;do	aficionado	1101001010
a;field	afield	110000
a;float	afloat	110000
a;foot	afoot	11000
a;fore;men;tioned	aforementioned	11000100100000
a;fore;said	aforesaid	110001000
a;fraid	afraid	110000
a;ga	aga	110
a;ga;ve	agave	11010
a;gain	again	11000
a;gainst	against	1100000
a;gape	agape	11000
a;gar	agar	1100
a;ged	aged	1100
a;gee	agee	1100
a;gen;cy	agency	110010
a;gen;da	agenda	110010
a;gent	agent	11000
a;gil;i;ty	agility	1100110
a;go	ago	110
a;grar;i;an	agrarian	11000110
a;gree	agree	11000
a;gree;a;ble	agreeable	110001100
a;gree;ing	agreeing	11000100
a;gree;ment	agreement	110001000
a;greed	agreed	110000
a;gron;o;my	agronomy	11000110
a;ha	aha	110
a;head	ahead	11000
a;hem	ahem	1100
a;hold	ahold	11000
a;hoy	ahoy	1100
a;i	ai	11
a;is	ais	110
a;kin	akin	1100
a;la	ala	110
a;larm	alarm	11000
a;las	alas	1100
a;leph	aleph	11000
a;lert	alert	11000
a;lert;ness	alertness	110001000
a;lex;i;a	alexia	110011
a;li;as;es	aliases	1101010
a;light	alight	110000
a;lign	align	11000
a;lign;ment	alignment	110001000
a;like	alike	11000
a;line	aline	11000
a;list	alist	11000
a;live	alive	11000
a;lo;ha	aloha	11010
a;loft	aloft	11000
a;lone	alone	11000
a;long	along	11000
a;long;side	alongside	110001000
