syllabified	notSyllabified	numeric
print;er	printer	1000010
tam;er	tamer	10010
nope	nope	1000
bil;let	billet	100100
de;clared	declared	10100000
du;ress	duress	101000
la;bour;er	labourer	10100010
pounce	pounce	100000
au;then;ti;ca;tor	authenticator	1010001010100
ax;is	axis	1010
ma;nip;u;la;tor	manipulator	10100110100
grav;i;ta;tion	gravitation	10001101000
arm;pit	armpit	100100
mis;con;duct	misconduct	1001001000
pred;i;cat;ed	predicated	1000110010
stink	stink	10000
dumps	dumps	10000
back;er	backer	100010
right;ful	rightful	10000100
steam;er	steamer	1000010
oc;ta;gon	octagon	1010100
pal;ate	palate	100100
weath;er;ing	weathering	1000010100
sub;sec;tion	subsection	1001001000
fi;na;le	finale	101010
yuc;ca	yucca	10010
hol;o;caust	holocaust	100110000
lyre	lyre	1000
stim;u;lat;ing	stimulating	10001100100
im;i;tat;ed	imitated	10110010
morn;ings	mornings	10001000
ai;kid;o	aikido	101001
wort	wort	1000
pix;ie	pixie	10010
move;a;ble	moveable	10001100
stat;ue	statue	100010
tell;ing	telling	1000100
ca;na;da	canada	101010
sew;er	sewer	10010
haul;age	haulage	1000100
re;strain	restrain	10100000
ow;ing	owing	10100
squeak;y	squeaky	1000001
dis;crim;i;nat;ed	discriminated	1001000110010
teens	teens	10000
al;lies	allies	101000
take;off	takeoff	1000100
de;pre;ci;a;tion	depreciation	101001011000
mall	mall	1000
cap;tured	captured	10010000
to;tal;ly	totally	1010010
tab;u;lat;ed	tabulated	100110010
dop;ing	doping	100100
man;do;lin	mandolin	10010100
pres;sur;ing	pressuring	1000100100
cli;ni;cian	clinician	100101000
so;cial	social	101000
mas;ter;mind	mastermind	1001001000
hand;gun	handgun	1000100
avn	avn	100
re;spond	respond	1010000
be;lov;ed	beloved	1010010
sew;ing	sewing	100100
dec;o;ra;tive	decorative	1001101000
mac;ro;e;co;nom;ics	macroeconomics	10010110100100
mag;net	magnet	100100
fac;tor	factor	100100
sped	sped	1000
re;trieve	retrieve	10100000
fair	fair	1000
cat;e;gor;i;cal	categorical	10011001100
there;in	therein	1000010
en;list;ment	enlistment	1010001000
tif;fin	tiffin	100100
scrib;ble	scribble	10000100
can;ter;bur;y	canterbury	1001001001
val;iant	valiant	1001000
syl;la;bi	syllabi	1001010
